p_score,rel_atr,ema21_slope,bias_long,bias_short,momentum_vol_ratio,order_flow_imbalance,order_flow_pressure,order_flow_aggressor,news_sentiment,news_event_severity,realtime_confidence,volatility_ratio,volatility_regime_flag,precision_score,precision_trigger_ready,precision_trigger_arming,precision_trigger_fire,precision_trigger_confidence,precision_order_flow_ready,structure_flip_flag,momentum_trail_activation_rr,momentum_trail_lock_ratio,momentum_trail_price,analysis_timestamp,close,label
52.0,0.0001753943295321,-0.0004479044562609,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 19:30:48+00:00,,0
36.0,0.0001723068440278,-0.0004423949538179,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,1.0,0.0,0.0,0.0,2025-10-23 19:42:26+00:00,,0
36.0,0.0001760021661805,-0.0004327299911461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,1.0,0.0,0.49,0.0,1.0,0.0,0.0,0.0,2025-10-23 19:52:16+00:00,,0
52.0,0.0001434172703938,-0.0004524080946621,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,2025-10-23 20:01:41+00:00,,0
52.0,0.00015634059599,-0.0004508335343717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 20:29:44+00:00,,0
52.0,0.0001434110912783,-0.000448471795696,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 20:44:10+00:00,,0
52.0,0.000146515095364,-0.0004650065311225,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,2025-10-23 20:53:59+00:00,,0
52.0,0.0001330095126433,-0.0004729406961565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8845226999219226,0.0,0.0,62.0,1.0,1.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,2025-10-23 21:10:52+00:00,,0
36.0,0.0001071447044653,-0.0004713651167223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,1.0,0.0,0.0,0.0,2025-10-23 21:26:22+00:00,,0
36.0,0.0001225221586557,-0.0004587624369042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,1.0,0.0,0.0,0.0,2025-10-23 21:36:44+00:00,,0
52.0,8.744143886736235e-05,-0.0004722672959833,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8968791908889812,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 21:46:12+00:00,,0
36.0,0.0002964520408049,-0.000419436644936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 21:55:13+00:00,,0
0.0,0.0003071605014858,-0.000419436644936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,1.0,0.0,0.0,0.0,2025-10-23 22:14:10+00:00,,0
52.0,0.0003385642953295,-0.0003481189846369,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 22:33:47+00:00,,0
36.0,0.0002238572907002,-0.0003375030818508,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 22:45:19+00:00,,0
36.0,0.0001657541060917,-0.0003375030818508,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,0.0,0.0,2025-10-23 22:55:03+00:00,,0
